constituency,region,country,id,Conservative,Labour,UKIP,LibDem,SNP,Green,DUP,PC,SF,UUP,SDLP,Ind,Alliance,Other,last_winner,last_winner_pct,majority_pct
Bedfordshire Mid,East,England,E14000813,56.05235963,15.87495694,15.44264554,7.221839476,0,4.240440923,0,0,0,0,0,0.661384774,0,0.506372718,Conservative,56.05235963,40.17740269
Bedfordshire North East,East,England,E14000841,59.46788928,15.76049905,14.62196618,5.825606763,0,4.324038724,0,0,0,0,0,0,0,0,Conservative,59.46788928,43.70739024
Bedfordshire South West,East,England,E14000949,54.98986434,20.26937471,15.47832528,5.157492593,0,4.104943084,0,0,0,0,0,0,0,0,Conservative,54.98986434,34.72048963
Belfast East,Northern Ireland,Northern Ireland,N06000001,2.824958419,0,0,0,0,2.66619626,49.32967088,0,2.073988206,0,0.320044353,0,42.78514188,0,DUP,49.32967088,6.544529006
Belfast North,Northern Ireland,Northern Ireland,N06000002,0,0,0,0,0,0,47.04259355,0,33.9221048,0,8.223092651,1.303180351,7.245091518,2.263937132,DUP,47.04259355,13.12048875
Belfast South,Northern Ireland,Northern Ireland,N06000003,1.493954873,0,4.877172267,0,0,5.744795544,22.21423621,0,13.86657083,9.110044408,24.5398773,0,17.22668583,0.926662731,SDLP,24.5398773,2.325641091
Belfast West,Northern Ireland,Northern Ireland,N06000004,0.096238218,0,2.165359903,0,0,0,7.84907583,0,54.24155793,3.079622973,9.836111976,0,1.800220782,20.93181239,SF,54.24155793,33.30974553
Bermondsey & Old Southwark,London,England,E14000553,11.76687928,43.06549471,6.327784692,34.33610765,0,3.933960797,0,0,0,0,0,0.140012446,0,0.429760423,Labour,43.06549471,8.729387057
Berwick-Upon-Tweed,North East,England,E14000554,41.07315142,14.94693615,11.16443609,28.91670584,0,3.681072657,0,0,0,0,0,0,0,0.217697845,Conservative,41.07315142,12.15644559
"Berwickshire, Roxburgh & Selkirk",Scotland,Scotland,S14000008,36.0060322,4.905701515,2.391075257,18.70344126,36.60198408,1.146480613,0,0,0,0,0,0.245285076,0,0,SNP,36.60198408,0.595951888
Bethnal Green & Bow,London,England,E14000555,15.24828055,61.19529892,6.082306704,4.525357116,0,9.269896455,0,0,0,0,0,0,0,3.678860252,Labour,61.19529892,45.94701837
Beverley & Holderness,Yorkshire and The Humber,England,E14000556,48.14814815,24.98244015,16.69419291,5.50524897,0,3.420847808,0,0,0,0,0,0,0,1.249122008,Conservative,48.14814815,23.16570799
Bexhill & Battle,South East,England,E14000557,54.77380564,14.12039552,18.4179072,7.604404361,0,5.083487269,0,0,0,0,0,0,0,0,Conservative,54.77380564,36.35589844
Bexleyheath & Crayford,London,England,E14000558,47.25420625,26.21265881,21.01865629,2.994162756,0,2.174659494,0,0,0,0,0,0,0,0.345656404,Conservative,47.25420625,21.04154744
Birkenhead,North West,England,E14000559,14.85796035,67.61700388,9.804823217,3.566319232,0,4.153893317,0,0,0,0,0,0,0,0,Labour,67.61700388,52.75904353
Birmingham Edgbaston,West Midlands,England,E14000560,38.29220449,44.84537331,10.05981643,2.867314073,0,3.320175332,0,0,0,0,0,0.220376335,0,0.394740029,Labour,44.84537331,6.553168818
Birmingham Erdington,West Midlands,England,E14000561,30.83554377,45.62334218,17.41436974,2.782262715,0,2.73324876,0,0,0,0,0,0,0,0.611232845,Labour,45.62334218,14.78779841
Birmingham Hall Green,West Midlands,England,E14000562,17.70394933,59.82867831,4.529609319,11.60353696,0,4.676274285,0,0,0,0,0,0,0,1.657951792,Labour,59.82867831,42.12472899
Birmingham Hodge Hill,West Midlands,England,E14000563,11.46957772,68.39591608,11.33312215,6.39391798,0,2.034649967,0,0,0,0,0,0,0,0.372816102,Labour,68.39591608,56.92633836
Birmingham Ladywood,West Midlands,England,E14000564,12.74083974,73.62735271,5.025615325,3.82559305,0,4.179195902,0,0,0,0,0,0,0,0.601403274,Labour,73.62735271,60.88651297
Birmingham Northfield,West Midlands,England,E14000565,35.71277172,41.62172346,16.73535715,3.177033042,0,2.753114623,0,0,0,0,0,0,0,0,Labour,41.62172346,5.908951744
Birmingham Perry Barr,West Midlands,England,E14000566,21.49539506,57.43334949,12.19583131,4.849733398,0,3.223460979,0,0,0,0,0,0,0,0.802229762,Labour,57.43334949,35.93795444
Birmingham Selly Oak,West Midlands,England,E14000567,29.00384157,47.65311079,12.70587716,5.557027421,0,5.080143065,0,0,0,0,0,0,0,0,Labour,47.65311079,18.64926922
Birmingham Yardley,West Midlands,England,E14000568,13.99722972,41.62474788,16.12840514,25.59840587,0,1.696192073,0,0,0,0,0,0,0,0.955019319,Labour,41.62474788,16.02634201
Bishop Auckland,North East,England,E14000569,32.49384346,41.39988322,17.80954073,4.374317703,0,3.922414887,0,0,0,0,0,0,0,0,Labour,41.39988322,8.906039757
Blackburn,North West,England,E14000570,27.27789268,56.27855179,14.27305166,2.170503875,0,0,0,0,0,0,0,0,0,0,Labour,56.27855179,29.00065911
Blackley & Broughton,North West,England,E14000571,15.03826256,61.92606165,16.45828842,2.355033412,0,4.222353956,0,0,0,0,0,0,0,0,Labour,61.92606165,45.46777323
Blackpool North & Cleveleys,North West,England,E14000572,44.44444444,35.96578072,14.78181403,2.406518925,0,2.256746122,0,0,0,0,0,0,0,0.144695758,Conservative,44.44444444,8.478663722
Blackpool South,North West,England,E14000573,33.79886546,41.76840548,17.30484647,2.290664694,0,2.592798126,0,0,0,0,0,2.019361204,0,0.225058577,Labour,41.76840548,7.969540017
Blaenau Gwent,Wales,Wales,W07000072,10.79127608,58.01218319,17.91812644,1.956885396,0,2.329324875,0,8.992204021,0,0,0,0,0,0,Labour,58.01218319,40.09405675
Blaydon,North East,England,E14000574,17.44258501,49.15880363,17.49821969,12.23295353,0,3.667438134,0,0,0,0,0,0,0,0,Labour,49.15880363,31.66058394
Blyth Valley,North East,England,E14000575,21.6999038,46.3144484,22.31871246,5.889082447,0,3.77785289,0,0,0,0,0,0,0,0,Labour,46.3144484,23.99573594
Bognor Regis & Littlehampton,South East,England,E14000576,51.33075813,13.81271755,21.7357161,8.999066135,0,4.121742083,0,0,0,0,0,0,0,0,Conservative,51.33075813,29.59504202
Bolsover,East Midlands,England,E14000577,24.4647484,51.23414701,20.97368062,3.327423974,0,0,0,0,0,0,0,0,0,0,Labour,51.23414701,26.76939861
Bolton North East,North West,England,E14000578,32.81666319,42.9577628,18.80632979,2.863696393,0,2.555547833,0,0,0,0,0,0,0,0,Labour,42.9577628,10.1410996
Bolton South East,North West,England,E14000579,20.34459907,50.45038412,23.62859878,2.631126819,0,2.945291216,0,0,0,0,0,0,0,0,Labour,50.45038412,26.82178534
Bolton West,North West,England,E14000580,40.63220283,38.98378334,15.28646691,4.0068324,0,0,0,0,0,0,0,0.660602568,0,0.430111953,Conservative,40.63220283,1.648419493
Bootle,North West,England,E14000581,8.059443657,74.45738838,10.88545358,2.166017009,0,3.324326719,0,0,0,0,0,0,0,1.107370659,Labour,74.45738838,63.5719348
Boston & Skegness,East Midlands,England,E14000582,43.79658045,16.47938347,33.79173493,2.342001431,0,1.845912458,0,0,0,0,0,0,0,1.744387272,Conservative,43.79658045,10.00484552
Bosworth,East Midlands,England,E14000583,42.81101863,17.45735508,17.42749431,22.30413198,0,0,0,0,0,0,0,0,0,0,Conservative,42.81101863,20.50688664
Bournemouth East,South West,England,E14000584,49.21141276,16.6149865,16.51013898,8.369955607,0,7.279095188,0,0,0,0,0,0,0,2.014410958,Conservative,49.21141276,32.59642626
Bournemouth West,South West,England,E14000585,48.24886889,17.68127738,18.54068417,7.854355684,0,7.437818687,0,0,0,0,0,0,0,0.236995188,Conservative,48.24886889,29.70818471
Bracknell,South East,England,E14000586,55.76988283,16.87073805,15.70847304,7.502919791,0,4.147986286,0,0,0,0,0,0,0,0,Conservative,55.76988283,38.89914478
Bradford East,Yorkshire and The Humber,England,E14000587,11.30753997,46.64058349,9.909191905,29.53195189,0,2.103559871,0,0,0,0,0,0,0,0.507172873,Labour,46.64058349,17.1086316
Bradford South,Yorkshire and The Humber,England,E14000588,26.2712766,43.42553191,24.08776596,2.909574468,0,3.305851064,0,0,0,0,0,0,0,0,Labour,43.42553191,17.15425532
Bradford West,Yorkshire and The Humber,England,E14000589,15.28915364,49.58302308,7.793497146,2.911392405,0,2.692975925,0,0,0,0,0,0.248200546,0,21.48175726,Labour,49.58302308,28.10126582
Braintree,East,England,E14000590,53.83728099,18.48736153,18.81550425,4.947994352,0,3.110395163,0,0,0,0,0,0.586679395,0,0.214784321,Conservative,53.83728099,35.02177674
Brecon & Radnorshire,Wales,Wales,W07000068,41.05654539,14.73274442,8.329590258,28.32509857,0,3.146678645,0,4.409342716,0,0,0,0,0,0,Conservative,41.05654539,12.73144682
Brent Central,London,England,E14000591,20.34146964,62.11940806,3.93349209,8.370896411,0,4.065317231,0,0,0,0,0,0.308300731,0,0.861115836,Labour,62.11940806,41.77793842
Brent North,London,England,E14000592,33.53498612,54.27586867,3.874796592,4.99090648,0,2.946300373,0,0,0,0,0,0.377141763,0,0,Labour,54.27586867,20.74088255
Brentford & Isleworth,London,England,E14000593,42.94481737,43.75555749,5.584517479,4.018830093,0,3.69627757,0,0,0,0,0,0,0,0,Labour,43.75555749,0.810740127
Brentwood & Ongar,East,England,E14000594,58.83577085,12.50939361,16.81022024,8.819392258,0,2.691870436,0,0,0,0,0,0,0,0.333352602,Conservative,58.83577085,42.02555061
Bridgend,Wales,Wales,W07000073,32.18259701,37.06688972,14.9823841,4.177122145,0,1.865510861,0,7.056497605,0,0,0,1.933946721,0,0.735051834,Labour,37.06688972,4.884292703
Bridgwater & Somerset West,South West,England,E14000595,45.95294507,17.61162231,19.16910023,12.42492699,0,4.841405403,0,0,0,0,0,0,0,0,Conservative,45.95294507,26.78384484
Brigg & Goole,Yorkshire and The Humber,England,E14000596,53.0298128,27.2012942,15.47030275,1.765657499,0,2.114629073,0,0,0,0,0,0.353593714,0,0.064709961,Conservative,53.0298128,25.8285186
Brighton Kemptown,South East,England,E14000597,40.67452435,39.15154726,9.813269766,3.012845981,0,7.034388381,0,0,0,0,0,0.152297709,0,0.161126562,Conservative,40.67452435,1.522977089
Brighton Pavilion,South East,England,E14000598,22.76684469,27.2587607,4.982076231,2.789157949,0,41.83005341,0,0,0,0,0,0.2121589,0,0.160948131,Green,41.83005341,14.57129271
Bristol East,South West,England,E14000599,30.65803995,39.27033519,15.47616472,5.818709021,0,8.28121957,0,0,0,0,0,0,0,0.49553156,Labour,39.27033519,8.612295242
Bristol North West,South West,England,E14000600,43.94749542,34.40401506,9.437313001,6.20403436,0,5.698291671,0,0,0,0,0,0,0,0.308850497,Conservative,43.94749542,9.543480359
Bristol South,South West,England,E14000601,24.34404626,38.36395106,16.48440266,8.685732269,0,11.52787066,0,0,0,0,0,0,0,0.593997089,Labour,38.36395106,14.0199048
Bristol West,South West,England,E14000602,15.18577346,35.65978386,3.020959855,18.84674079,0,26.82581208,0,0,0,0,0,0,0,0.460929957,Labour,35.65978386,8.833971784
Broadland,East,England,E14000603,50.49633634,18.77978489,16.7285125,9.753432915,0,4.241933357,0,0,0,0,0,0,0,0,Conservative,50.49633634,31.71655145
Bromley & Chislehurst,London,England,E14000604,52.97281351,22.19171243,14.26269686,6.435800844,0,4.136976354,0,0,0,0,0,0,0,0,Conservative,52.97281351,30.78110108
Bromsgrove,West Midlands,England,E14000605,53.84821514,22.21073787,15.62446167,5.00717772,0,3.309407599,0,0,0,0,0,0,0,0,Conservative,53.84821514,31.63747727
Broxbourne,East,England,E14000606,56.05119068,18.40344168,19.71580045,3.187467408,0,2.642099774,0,0,0,0,0,0,0,0,Conservative,56.05119068,36.33539023
Broxtowe,East Midlands,England,E14000607,45.21519461,37.19311377,10.61751497,3.967065868,0,2.889221557,0,0,0,0,0,0,0,0.117889222,Conservative,45.21519461,8.022080838
Buckingham,South East,England,E14000608,0,0,21.74439395,0,0,13.78231394,0,0,0,0,0,64.47329211,0,0,Ind,64.47329211,42.72889816
Burnley,North West,England,E14000609,13.52085744,37.61636391,17.26966236,29.45453631,0,2.138579983,0,0,0,0,0,0,0,0,Labour,37.61636391,8.161827605
Burton,West Midlands,England,E14000610,49.77334912,27.53297668,17.67876833,2.515620533,0,2.499285335,0,0,0,0,0,0,0,0,Conservative,49.77334912,22.24037244
Bury North,North West,England,E14000611,41.94118948,41.10546098,12.37010834,2.060579262,0,2.52266195,0,0,0,0,0,0,0,0,Conservative,41.94118948,0.835728499
Bury South,North West,England,E14000612,34.62882559,45.05347877,13.34109923,3.579370963,0,3.037170391,0,0,0,0,0,0,0,0.360055067,Labour,45.05347877,10.42465318
Bury St Edmunds,East,England,E14000613,53.61385888,17.71793532,14.72674879,6.034613505,0,7.906843498,0,0,0,0,0,0,0,0,Conservative,53.61385888,35.89592356
Caerphilly,Wales,Wales,W07000076,16.59012487,44.34625028,19.3406648,2.321078371,0,2.326043244,0,14.6339647,0,0,0,0,0,0.441873743,Labour,44.34625028,25.00558548
"Caithness, Sutherland & Easter Ross",Scotland,Scotland,S14000009,6.803954835,8.95395776,2.869595741,35.06406131,46.30843035,0,0,0,0,0,0,0,0,0,SNP,46.30843035,11.24436904
Calder Valley,Yorkshire and The Humber,England,E14000614,43.61890887,35.35047907,11.11297884,4.979361611,0,3.90355055,0,0,0,0,0,0,0,1.034721055,Conservative,43.61890887,8.268429801
Camberwell & Peckham,London,England,E14000615,13.16886794,63.25323403,4.679893718,5.003781928,0,10.05992902,0,0,0,0,0,0,0,3.834293361,Labour,63.25323403,50.08436609
Camborne & Redruth,South West,England,E14000616,40.22848173,24.95857679,14.77282637,12.39862213,0,5.685881224,0,0,0,0,0,0,0,1.955611755,Conservative,40.22848173,15.26990494
Cambridge,East,England,E14000617,15.67775331,36.01421563,5.153165682,34.85726426,0,7.936415962,0,0,0,0,0,0,0,0.361185151,Labour,36.01421563,1.156951366
Cambridgeshire North East,East,England,E14000842,55.08690614,14.43800695,22.49903438,4.468906914,0,3.507145616,0,0,0,0,0,0,0,0,Conservative,55.08690614,32.58787177
Cambridgeshire North West,East,England,E14000855,52.48772504,17.88379705,20.09001637,5.693944354,0,3.533551555,0,0,0,0,0,0,0,0.31096563,Conservative,52.48772504,32.39770867
Cambridgeshire South,East,England,E14000934,51.11147221,17.64705882,9.76600585,15.22261943,0,6.252843679,0,0,0,0,0,0,0,0,Conservative,51.11147221,33.46441339
Cambridgeshire South East,East,England,E14000937,48.47410345,15.14637179,11.079555,20.1794777,0,5.120492051,0,0,0,0,0,0,0,0,Conservative,48.47410345,28.29462575
Cannock Chase,West Midlands,England,E14000618,44.1856515,33.73320028,17.46109259,2.696447908,0,1.92360772,0,0,0,0,0,0,0,0,Conservative,44.1856515,10.45245122
Canterbury,South East,England,E14000619,42.86542598,24.53941831,13.63321799,11.64687179,0,7.00645282,0,0,0,0,0,0,0,0.308613111,Conservative,42.86542598,18.32600767
Cardiff Central,Wales,Wales,W07000050,14.6819852,40.00931532,6.466387207,27.12052994,0,6.36805879,0,4.981110594,0,0,0,0.087978057,0,0.284634891,Labour,40.00931532,12.88878539
Cardiff North,Wales,Wales,W07000051,42.441008,38.26318156,7.728099157,3.818107173,0,2.451564974,0,4.498445778,0,0,0,0,0,0.799593361,Conservative,42.441008,4.177826435
Cardiff South & Penarth,Wales,Wales,W07000080,26.8133799,42.78398011,13.76347312,4.967107378,0,3.741401847,0,7.377804444,0,0,0,0,0,0.552853194,Labour,42.78398011,15.97060021
Cardiff West,Wales,Wales,W07000079,25.15071246,40.65354403,11.24177932,4.724607234,0,3.891121666,0,13.92035075,0,0,0,0,0,0.417884545,Labour,40.65354403,15.50283157
Carlisle,North West,England,E14000620,44.31634067,37.80261582,12.39110527,2.552422101,0,2.641651208,0,0,0,0,0,0.295864935,0,0,Conservative,44.31634067,6.513724846
Carmarthen East & Dinefwr,Wales,Wales,W07000067,21.15789741,24.21635067,11.07388512,2.355389731,0,2.769105815,0,38.42737125,0,0,0,0,0,0,PC,38.42737125,14.21102058
Carmarthen West & Pembrokeshire South,Wales,Wales,W07000066,43.68277571,28.67905824,11.64312268,2.3866171,0,3.197026022,0,10.41140025,0,0,0,0,0,0,Conservative,43.68277571,15.00371747
Carshalton & Wallington,London,England,E14000621,31.69932581,15.01690715,14.80478021,34.87072858,0,3.133597967,0,0,0,0,0,0,0,0.474660282,LibDem,34.87072858,3.171402768
Castle Point,East,England,E14000622,50.85148515,13.8239824,31.19471947,1.762376238,0,2.367436744,0,0,0,0,0,0,0,0,Conservative,50.85148515,19.65676568
Ceredigion,Wales,Wales,W07000064,11.01935001,9.661642078,10.23358991,35.85097285,0,5.580500321,0,27.65394484,0,0,0,0,0,0,LibDem,35.85097285,8.197028009
Charnwood,East Midlands,England,E14000625,54.31201087,21.91500354,15.93922811,6.898069306,0,0,0,0,0,0,0,0,0,0.93568818,Conservative,54.31201087,32.39700733
Chatham & Aylesford,South East,England,E14000626,50.1799271,23.58554083,19.9219929,3.157430409,0,2.556125647,0,0,0,0,0,0,0,0.598983122,Conservative,50.1799271,26.59438627
Cheadle,North West,England,E14000627,43.10952067,16.33487146,8.330351257,30.95583388,0,0,0,0,0,0,0,0.734532442,0,0.534890291,Conservative,43.10952067,12.15368679
Chelmsford,East,England,E14000628,51.53018563,17.61896798,14.21855548,11.88100414,0,3.515617742,0,0,0,0,0,0,0,1.235669027,Conservative,51.53018563,33.91121765
Chelsea & Fulham,London,England,E14000629,62.94933625,23.11937553,5.068860936,5.198130562,0,3.664296724,0,0,0,0,0,0,0,0,Conservative,62.94933625,39.82996072
Cheltenham,South West,England,E14000630,46.13380478,7.261561366,7.086628827,34.00763004,0,5.004187215,0,0,0,0,0,0.506187773,0,0,Conservative,46.13380478,12.12617475
Chesham & Amersham,South East,England,E14000631,59.05177318,12.72899678,13.68860231,9.029015741,0,5.501611986,0,0,0,0,0,0,0,0,Conservative,59.05177318,45.36317087
"Chester, City Of",North West,England,E14000640,43.0503704,43.23214949,8.107738316,5.609741796,0,0,0,0,0,0,0,0,0,0,Labour,43.23214949,0.18177909
Chesterfield,East Midlands,England,E14000632,18.06351087,47.90528233,16.50975487,13.82798955,0,2.967059495,0,0,0,0,0,0,0,0.726402879,Labour,47.90528233,29.84177146
Chichester,South East,England,E14000633,57.67164284,12.13356902,14.94600886,8.514324717,0,6.548942054,0,0,0,0,0,0,0,0.185512522,Conservative,57.67164284,42.72563398
Chingford & Woodford Green,London,England,E14000634,47.93854443,28.79417405,12.88466807,5.478951694,0,4.232490184,0,0,0,0,0,0,0,0.671171583,Conservative,47.93854443,19.14437038
Chippenham,South West,England,E14000635,47.56438717,8.231811865,10.6195968,29.37895934,0,4.205244825,0,0,0,0,0,0,0,0,Conservative,47.56438717,18.18542783
Chipping Barnet,London,England,E14000636,48.5899685,34.14822779,7.830154868,4.491351178,0,4.71771075,0,0,0,0,0,0,0,0.222586913,Conservative,48.5899685,14.44174071
Chorley,North West,England,E14000637,36.33972772,45.09978342,13.52684097,2.618347772,0,2.1484375,0,0,0,0,0,0.266862624,0,0,Labour,45.09978342,8.760055693
Christchurch,South West,England,E14000638,58.11455127,9.545939204,21.451707,6.564467781,0,4.323334742,0,0,0,0,0,0,0,0,Conservative,58.11455127,36.66284427
Cities Of London & Westminster,London,England,E14000639,54.08318364,27.35663949,5.234213072,6.966975266,0,5.39726406,0,0,0,0,0,0,0,0.961724471,Conservative,54.08318364,26.72654415
Clacton,East,England,E14000642,36.65709051,14.39591015,44.4318773,1.836813174,0,2.678308865,0,0,0,0,0,0,0,0,UKIP,44.4318773,7.774786798
Cleethorpes,Yorkshire and The Humber,England,E14000643,46.63221628,29.12683803,18.53223624,2.985207035,0,2.246667702,0,0,0,0,0,0,0,0.476834705,Conservative,46.63221628,17.50537825
Clwyd South,Wales,Wales,W07000062,30.37018024,37.22051107,15.62856491,3.847250742,0,2.609514031,0,10.32397901,0,0,0,0,0,0,Labour,37.22051107,6.850330824
Clwyd West,Wales,Wales,W07000059,43.291785,25.59429894,13.11665089,3.647312507,0,0,0,12.23046177,0,0,0,0,0,2.119490901,Conservative,43.291785,17.69748606
"Coatbridge, Chryston & Bellshill",Scotland,Scotland,S14000011,6.32963825,33.91652531,2.069115152,1.082882954,56.60183834,0,0,0,0,0,0,0,0,0,SNP,56.60183834,22.68531303
Colchester,East,England,E14000644,38.93359126,16.15870599,12.07992921,27.46074537,0,5.142716029,0,0,0,0,0,0,0,0.224312144,Conservative,38.93359126,11.47284588
